instance,seed,family,K,n,p_edge,graph_seed,outer,inner,L,budget_evals,readout_shots,J_star,evals_final_ID,evals_final_FD,bestS_final_ID,bestS_final_FD,mode_final_ID,mode_final_FD,bestS_auc_ID,bestS_auc_FD,mode_auc_ID,mode_auc_FD
5,6,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,50.333637289774174,1984.0,1953.0,0.9640213315259777,0.964829995127766,0.9285828825961906,0.8288884653633098,0.9573457852794767,0.9468427396621573,0.8760550886790092,0.7689850349905409
6,7,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,57.99621692584907,1984.0,1953.0,0.9402781544479861,0.9403633560066696,0.726093439366913,0.744501282990809,0.9397312736492036,0.9354034681667701,0.8521430726115619,0.7453984510750981
7,8,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,50.82862478195984,1984.0,1953.0,0.8302103453163746,0.8306134274269414,0.8293313072962619,0.8306134273961469,0.8289699639896643,0.8206966660582214,0.8055002019015572,0.754394039420606
8,9,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,65.67390003337597,1984.0,1953.0,0.9310287826603421,0.9300618865526079,0.8943988003261681,0.8466306967903579,0.9284855244004693,0.9155308768133303,0.8654314798224751,0.8194835314130356
9,10,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,56.37129328758931,1984.0,1953.0,0.9872781108210101,0.9754606990658712,0.9376735814946402,0.9047430277453387,0.9808668500364186,0.9657648579399297,0.8922129384711333,0.8209259167107975
10,11,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,65.22751405944028,1984.0,1953.0,1.0,0.8677298058156607,0.9443708743697089,0.8243952617596537,0.896860619172338,0.858180899028245,0.8244455273420399,0.744430191649092
11,12,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,62.137399090144775,1984.0,1953.0,0.9680585341568245,0.9683171752698716,0.8682283833433894,0.7796464376207451,0.9628554168309614,0.9415898990610464,0.8535539572311478,0.797663887710562
12,13,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,63.57660472999399,1984.0,1953.0,0.8439724359920064,0.8537906720871833,0.8408155855957095,0.8390453524194492,0.8383808080523639,0.841774201792232,0.7881384246089423,0.7523817228990911
13,14,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,64.46920901917609,1984.0,1953.0,0.9123097717813333,0.8696717533851517,0.909433752608668,0.8512290405783294,0.8767141552687325,0.8620041321137012,0.8190689577056853,0.7534765385739317
14,15,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,58.31773897327905,1984.0,1953.0,0.9998072337594134,0.9998622292647208,0.9998072337594134,0.9998622292647208,0.9959722153765189,0.9823629594008414,0.9335895586161176,0.8795104879599657
