graph_class,n,p,seed,graph_seed,m_edges,kind,periodic_K,lam0,lam_star_grid,J_star_grid,budget_evals,inner,outer_max,L_vqe,eta0,eta_pow,step_clip,fd_c_frac,auc_id,auc_fd,delta_auc,final_id,final_fd,delta_final
ring,8,0.65,1,7,24,periodic,6,0.8,-0.8666666666666671,42.08783631478387,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.873273570867658,0.8056759567558286,0.06759761411182941,0.9802988409560102,0.8548005299668907,0.12549831098911945
ring,8,0.65,2,7,24,periodic,6,0.8,-3.033333333333333,47.52594731402676,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8537360248484545,0.8153633679567885,0.03837265689166591,0.9152800482618346,0.8976868380751553,0.017593210186679364
ring,8,0.65,3,7,24,periodic,6,0.8,-2.066666666666667,45.663305353999,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8126616007137473,0.7346704983686442,0.07799110234510309,0.8911856216293522,0.8362226725671218,0.054962949062230426
ring,10,0.2,1,7,10,periodic,6,0.8,-4.233333333333333,28.501637767857687,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8475718961190706,0.7880534025404993,0.05951849357857131,0.9197241069914731,0.8879606875515308,0.03176341943994232
ring,10,0.2,2,7,10,periodic,6,0.8,0.9333333333333336,27.562118345371324,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.84481872047998,0.8268207451103575,0.017997975369622443,0.9708273175650244,0.9263372792031904,0.04449003836183396
ring,10,0.2,3,7,10,periodic,6,0.8,3.033333333333333,30.08895154073665,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8488213653347344,0.7833108120058364,0.06551055332889799,0.9523294548256419,0.8884820263827362,0.0638474284429057
ring,10,0.35,1,7,20,periodic,6,0.8,3.833333333333334,39.51335441962637,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7971677623085827,0.7993339436783914,-0.0021661813698087284,0.8656327525015917,0.8871496623156081,-0.02151690981401644
ring,10,0.35,2,7,20,periodic,6,0.8,-4.1,39.625461965080945,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8311863551951337,0.7875288891585025,0.04365746603663123,0.9103015954694559,0.9050284614281537,0.005273134041302141
ring,10,0.35,3,7,20,periodic,6,0.8,-2.6666666666666665,42.73225206698464,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8372370143853233,0.7804099987186391,0.05682701566668413,0.929383056380636,0.8684269421896187,0.06095611419101732
ring,10,0.5,1,7,20,periodic,6,0.8,0.33333333333333304,41.46666117716022,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8802349201767199,0.8949316969730955,-0.014696776796375599,0.9554521349559902,0.9917165432382788,-0.03626440828228861
ring,10,0.5,2,7,20,periodic,6,0.8,-0.2333333333333334,43.53027679479109,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8447092087995596,0.8203927400172277,0.024316468782331846,0.9242915054926303,0.9054936088709802,0.0187978966216501
ring,10,0.5,3,7,20,periodic,6,0.8,-3.5,44.22669230507688,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.832287470499976,0.7794462275514695,0.05284124294850645,0.9090335626080112,0.8885693607209302,0.02046420188708098
ring,10,0.65,1,7,30,periodic,6,0.8,-0.5,57.667910945469494,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8621235920644041,0.8439755592660096,0.018148032798394498,0.9207443543737808,0.9408263975864557,-0.020082043212674927
ring,10,0.65,2,7,30,periodic,6,0.8,1.4000000000000004,55.72258712837653,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8763565469411805,0.8204227049320347,0.05593384200914575,0.9525989641318784,0.9171823865456779,0.03541657758620054
ring,10,0.65,3,7,30,periodic,6,0.8,-3.0666666666666664,55.97185123506833,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8145138397945666,0.7936412027287383,0.020872637065828314,0.9156687326714418,0.9050275549192268,0.010641177752214959
ring,12,0.2,1,7,12,periodic,6,0.8,4.166666666666666,35.14951158308401,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.718321674591789,0.7368098137625874,-0.01848813917079839,0.8113335650212289,0.8287001504142358,-0.01736658539300695
